date,Close,High,Low,Open,Volume,Fund,Return_1D,Return_5D,Return_20D,Volatility_20D
29-07-2020,1617.4788818359375,1625.4612976428432,1558.054003598222,1575.989808018609,1522653,APOLLOHOSP.NS,0.026325686,0.1081253742427335,0.2437388495028898,0.02130422
30-07-2020,1691.242676,1702.9206667102458,1607.4763235414518,1613.7341387372844,2000500,APOLLOHOSP.NS,0.045604177,0.1207143756763986,0.2595136294446332,0.022177668
31-07-2020,1650.29541,1692.129377702957,1619.6468088701513,1692.129377702957,885944,APOLLOHOSP.NS,-0.024211348,0.1075027812047899,0.2136540365751076,0.023592625
03-08-2020,1551.500488,1678.4311845980656,1544.355711888153,1645.762286409903,2067390,APOLLOHOSP.NS,-0.059864992,0.043756346,0.1165206846657889,0.028077238
04-08-2020,1629.9451904296875,1642.855158566169,1545.292004531062,1547.2136549001789,2098343,APOLLOHOSP.NS,0.05056054,0.034235831,0.1653689719643134,0.029802469
05-08-2020,1651.921630859375,1690.109230081329,1633.9365034838738,1642.7073567842565,1857434,APOLLOHOSP.NS,0.013482932,0.021294095,0.2026043178804157,0.02918127
06-08-2020,1668.87207,1714.7465151445906,1630.191725071451,1663.9939602423226,1406163,APOLLOHOSP.NS,0.010261043,-0.013227318,0.2061610431527638,0.02917604
07-08-2020,1717.9000244140625,1727.5578402657536,1675.8691212876997,1675.8691212876997,1570379,APOLLOHOSP.NS,0.029377898,0.040965159,0.2429678174370977,0.029370905
10-08-2020,1759.2410888671875,1771.9045651759316,1728.5431631360311,1733.4212727460663,1082244,APOLLOHOSP.NS,0.024064884,0.1338965744162106,0.2470918761868039,0.029437242
11-08-2020,1725.3404541015625,1771.8553678176581,1713.2682447268694,1764.0207984245592,697840,APOLLOHOSP.NS,-0.019270034,0.05852667,0.2143229216560065,0.030225805
12-08-2020,1682.225341796875,1728.1983079742497,1678.3819206469261,1725.3403732576912,804252,APOLLOHOSP.NS,-0.024989336,0.018344521,0.1649888998477231,0.031181434
13-08-2020,1700.0626220703125,1752.0963538693604,1686.6600306368114,1699.9640974867075,1005174,APOLLOHOSP.NS,0.010603383,0.0186896,0.200821413,0.030494139
14-08-2020,1682.570068359375,1724.6010845658036,1663.0081886884536,1709.8187895552396,765898,APOLLOHOSP.NS,-0.010289358,-0.020565781,0.1388405660354754,0.029707071
17-08-2020,1679.663086,1702.1814266770612,1661.530111667405,1690.1092179772238,479355,APOLLOHOSP.NS,-0.001727704,-0.045234279,0.147666833,0.029533852
18-08-2020,1672.5181884765625,1691.8830193776344,1654.4345379541655,1679.662964537619,639935,APOLLOHOSP.NS,-0.004253768,-0.030615561,0.1313577033286745,0.029637047
19-08-2020,1660.5447998046875,1693.312226863148,1657.5883402204654,1685.1819630065374,606462,APOLLOHOSP.NS,-0.007158899,-0.012888013,0.1376295841598731,0.029474871
20-08-2020,1668.625488,1679.268789290572,1647.7332251724392,1654.6316298232807,455458,APOLLOHOSP.NS,0.004866288,-0.01849175,0.1057269303312713,0.028782964
21-08-2020,1653.1534423828125,1723.6157202548668,1641.4754525574506,1690.1091825254985,1091774,APOLLOHOSP.NS,-0.00927233,-0.017483151,0.1094207885022782,0.028683667
24-08-2020,1666.0140380859375,1675.326836203026,1651.083895,1670.892147518959,525574,APOLLOHOSP.NS,0.007779433,-0.008126063,0.1207941846099569,0.028623854
25-08-2020,1640.2928466796875,1691.5874636803314,1634.577097542618,1666.4575596175011,682054,APOLLOHOSP.NS,-0.01543876,-0.019267558,0.040801645,0.025971139
26-08-2020,1627.2349853515625,1640.2926792671942,1611.4672040194791,1640.2926792671942,748724,APOLLOHOSP.NS,-0.007960689,-0.02005957,0.006031673,0.025429276
27-08-2020,1626.0526123046875,1655.5678828146422,1614.4238242911752,1631.9655308948863,476278,APOLLOHOSP.NS,-0.000726615,-0.025513739,-0.038545659,0.02311997
28-08-2020,1637.8292236328125,1651.5768323449533,1623.6383144183549,1629.7976049797144,548801,APOLLOHOSP.NS,0.007242454,-0.009269689,-0.007553912,0.022571983
31-08-2020,1610.827148,1652.6116834753702,1598.4592436547412,1645.7625998171504,626908,APOLLOHOSP.NS,-0.016486502,-0.033125105,0.038238248,0.018189164
01-09-2020,1646.5999755859375,1670.399496902416,1602.499457894856,1611.270311171357,1106516,APOLLOHOSP.NS,0.022207738,0.003845124,0.010218003,0.015040271
02-09-2020,1673.9964599609375,1683.6049521459297,1645.762251173004,1663.2053119432298,1098000,APOLLOHOSP.NS,0.016638215,0.028736768,0.013363121,0.015198067
03-09-2020,1674.2921142578125,1692.0801923551412,1663.9938292321817,1678.4312294235353,588865,APOLLOHOSP.NS,0.000176616,0.02966663,0.003247729,0.01503312
